"name","description","distinguishedname","managedby","whenCreated"
"WS-2281","Denver - BOMGAR Jumpoint","CN=WS-2281,OU=BOMGAR Jumpoints,OU=Service Computers,OU=ADMIN,DC=wma-arch,DC=com",,"7/6/2016 1:57:24 PM"
"WS-2843","Katinka Garcia - ThinkStation P320 Tiny","CN=WS-2843,OU=Computers,OU=Mexico,DC=wma-arch,DC=com","CN=Katinka Garcia,OU=Users,OU=Mexico,DC=wma-arch,DC=com","6/19/2018 4:18:55 PM"
"WS-1939","Victor Colmenares - Precision T3610","CN=WS-1939,OU=Computers,OU=Panama,DC=wma-arch,DC=com",,"6/6/2018 10:12:17 AM"
"WS-2818","Kim Arial - ThinkPad X1 Carbon 5th","CN=WS-2818,OU=Laptops,OU=Irvine,DC=wma-arch,DC=com","CN=Kimberly Arial,OU=Users,OU=Irvine,DC=wma-arch,DC=com","5/14/2018 4:24:31 PM"
"WS-2652","Zeenat Insaf - ThinkPad P51","CN=WS-2652,OU=Laptops,OU=New York,DC=wma-arch,DC=com","CN=Zeenat Insaf,OU=Users,OU=New York,DC=wma-arch,DC=com","6/14/2018 10:17:42 AM"
"WS-1774","Megan Young - Z400","CN=WS-1774,OU=Computers,OU=Irvine,DC=wma-arch,DC=com","CN=Megan Young,OU=Users,OU=Irvine,DC=wma-arch,DC=com","6/19/2018 5:01:34 PM"
"WS-2820","Kelsey Grundman - ThinkPad P51","CN=WS-2820,OU=Laptops,OU=Denver,DC=wma-arch,DC=com","CN=Kelsey Grundman,OU=Users,OU=Denver,DC=wma-arch,DC=com","5/24/2018 4:30:43 PM"
"WS-2831","Summer Fernquist - Blade","CN=WS-2831,OU=Laptops,OU=San Diego,DC=wma-arch,DC=com","CN=Summer Fernquist,OU=Users,OU=San Diego,DC=wma-arch,DC=com","6/7/2018 8:55:20 AM"
"WS-1772","Spare - Z400","CN=WS-1772,OU=Computers,OU=Irvine,DC=wma-arch,DC=com",,"11/10/2011 3:34:21 PM"
"WS-2841","Scott Kruse - P50","CN=WS-2841,OU=Laptops,OU=Toronto,DC=wma-arch,DC=com","CN=Scott Kruse,OU=Users,OU=Toronto,DC=wma-arch,DC=com","6/19/2018 8:45:49 AM"
"WS-2044","Jim Babine - ThinkPad W540","CN=WS-2044,OU=Laptops,OU=Northern California,DC=wma-arch,DC=com","CN=Jim Babine,OU=Users,OU=Northern California,DC=wma-arch,DC=com","5/16/2018 3:37:20 PM"
"WS-2842","Juan Luna - ThinkStation P320 Tiny","CN=WS-2842,OU=Computers,OU=Mexico,DC=wma-arch,DC=com","CN=Juan Luna,OU=Users,OU=Mexico,DC=wma-arch,DC=com","6/19/2018 3:46:06 PM"
"WS-2817","Sandra Vaccari - ThinkPad P51","CN=WS-2817,OU=Laptops,OU=Houston,DC=wma-arch,DC=com","CN=Sandra Vaccari,OU=Users,OU=Houston,DC=wma-arch,DC=com","5/10/2018 3:18:29 PM"
"WS-2819","Jill Burns - X1 Carbon","CN=WS-2819,OU=Laptops,OU=Irvine,DC=wma-arch,DC=com","CN=Jill Burns,OU=Users,OU=Irvine,DC=wma-arch,DC=com","5/14/2018 3:50:00 PM"
"WS-1864","Clarissa Buendia - ThinkPad S30","CN=WS-1864,OU=Laptops,OU=San Diego,DC=wma-arch,DC=com",,"6/28/2018 10:48:03 AM"
